Name,Home City,Home Country,Latitude,Longitude,Still Going?,Legendary,Albums,Guitars to Synths (1-5),Artsy to Populist (1-5),Loudness,Coolness,First Album Release Date,Last album released,New Entry
Little Man Tate,Sheffield,UK,53.381,-1.470,,,2,1,5,3,2,2007-01-22,2008-09-15,
Klaxons,London,UK,51.507,-0.128,,checked,3,4,3,4,4,2007-01-29,2014-06-16,
Jamie T,London,UK,51.507,-0.128,checked,,4,1,5,2,1,2007-01-29,2016-09-02,
The Horrors,Southend-on-Sea,UK,51.546,0.708,checked,,5,2,2,3,3,2007-03-05,2017-09-22,
The Maccabees,London,UK,51.507,-0.128,,,4,1,4,3,3,2007-05-14,2015-07-31,
The Pigeon Detectives,Leeds,UK,53.801,-1.549,checked,,5,2,5,3,1,2007-05-28,2017-02-24,
Justice,Paris, France,48.857,2.352,checked,,3,5,3,5,4,2007-06-11,2016-11-18,
Simian Mobile Disco,London,UK,51.507,-0.128,checked,,6,5,4,3,4,2007-06-18,2018-05-11,
St. Vincent,Dallas,USA,32.777,-96.797,checked,,6,3,2,2,4,2007-07-10,2017-10-13,
Kate Nash,London,UK,51.507,-0.128,checked,,4,2,5,2,2,2007-08-06,2018-03-30,
Reverend and the Makers,Sheffield,UK,53.381,-1.470,checked,,6,2,5,3,1,2007-09-17,2017-09-22,
Jack Peñate,London,UK,51.507,-0.128,,,2,1,5,3,2,2007-10-08,2009-06-22,
MGMT,Middletown,USA,39.515,-84.398,checked,,4,3,2,2,3,2007-12-14,2018-02-09,
Vampire Weekend,New York,USA,40.713,-74.006,checked,checked,4,2,2,2,3,2008-01-29,2019-05-03,
Bon Iver,Eau Claire,USA,44.811,-91.498,checked,,3,1,3,1,3,2008-02-19,2016-09-30,
Foals,Oxford,UK,51.752,-1.258,checked,,5,3,2,3,4,2008-03-24,2019-03-08,
"Does It Offend You, Yeah?",Reading,UK,51.454,-0.978,,,2,4,3,4,3,2008-03-24,2011-03-14,
The Courteeners,Manchester,UK,53.481,-2.243,checked,,5,2,4,3,2,2008-04-07,2018-04-07,
Hadouken!,London,UK,51.507,-0.128,,,3,4,4,4,2,2008-05-05,2013-03-18,
Fleet Foxes,Seattle,USA,47.606,-122.332,checked,,3,1,2,1,3,2008-06-03,2017-06-16,
Wild Beasts,Kendal,UK,54.328,-2.746,,,5,3,3,3,2,2008-06-16,2016-08-05,
Black Kids,Jacksonville,USA,30.332,-81.656,checked,,2,3,3,2,4,2008-07-07,2017-09-15,
Ladyhawke,Wellington, New Zealand,-41.286,174.776,checked,,3,3,3,3,4,2008-07-20,2016-06-03,
